Name of document,Page no.,Text
Induction Training Module for ASHA English,11,"11 Induction Training Module for ASHAsValues of an ASHA
Here are some important values which should guide you in your work: 
Be kind:  Have compassion for people and never be afraid to show that you 
care. Be especially kind to those who are sick, it is more important than a 
medicine. Try not to refuse your services to any individual who really needs them. 
Treat everybody equally:  Treat each individual equally irrespective of her or 
his class, caste, sex and religion. As a health worker your concern is well being of 
all the individuals not just those you know well or who come to you or who are 
the better off and powerful. Inequalities in our society deprive many sections 
of community from health care services. These are the marginalised people and include those who come from extremely poor families, live in inaccessible or 
distant part of our villages, belong to scheduled caste/scheduled tribe families, 
have only women in their households and are disabled or handicapped. Treating everybody equally also means spending more time and effort on those 
whose needs are more.
Be responsible: Be responsible to your designated duties and never misuse 
your authority for your benefit or for the benefit of friends and relatives 
Respect people’s traditions and ideas:  People are slow to change their 
attitudes and traditions and are true to what they feel is right. Rather than 
insisting that they adopt your approach, you must try to build on their existing 
knowledge with your ideas. For example-you can promote the use of modern 
medicine together with the traditional methods and the combination may serve better than either one alone. Thus, you can promote the use of ORS for 
treating a child with diarrhoea but at the same time encourage mothers to use 
traditional preparation like rice water, coconut water to overcome dehydration.
Keep learning: Use every chance you get to increase your own knowledge 
either through reading books, or attending training programmes or asking 
questions. 
Be a role model:  If you want people to take part in improving their village and 
care for their health, you must be a role model and practise healthy habits and 
behaviours. This way you will earn people’s trust and confidence. "
Induction Training Module for ASHA English,12,"Induction Training Module for ASHAs
 12ASHA Support and Supervision
For you to be effective and to continuously improve your skills, you  
need support and mentoring while you work in the community and  
also refresher trainings. 
ASHA Support  
mainly comes from
Auxillary Nurse Midwife  
Anganwadi Worker and Village 
Health Sanitation and Nutrition 
Committee Members
ASHA Facilitators
You all are expected to work together as a village health team "
Induction Training Module for ASHA English,13,"13 Induction Training Module for ASHAsAnganwadi worker
The Anganwadi worker, like you is also a local resident. She is in charge of the 
Anganwadi Centre, which provides these services: 
l Supplementary nutrition: For children below six years, and for pregnant 
and lactating Mothers. This could be a cooked meal, or in the form of take-
home rations. Malnourished children are given additional food supplements. 
Adolescent girls (10 years to 19 years) are also given Weekly Iron and Folic Acid Supplement and tablets for de-worming.
l Growth monitoring: Involves weighing of all children below 5 years of age, but especially those who are under 3 years of age,  growth monitoring through 
growth charts, tracking malnourished children and referral for children who are 
severely malnourished. 
l Pre-school non-formal education: Includes activities for playful learning and providing a stimulating environment, with inputs for growth and 
development especially for children between three to six years of age.
Village Health and Sanitation and Nutrition Committee (VHSNC)
The Village Health and Sanitation and Nutrition Committee (VHSNC) is an 
institution constituted at the level of a revenue village to promote collective 
action around health, sanitation and nutrition. The VHSNC is the platform 
for taking ‘local level community action’ for monitoring health status, and to undertake local level health planning. The VHSNC includes the Panchayat 
Representatives, the AWW, the ANM, and other community members, particularly 
women, and the marginalised. In most states you are the Convenor or Member Secretary of this Committee. The VHSNC is meant to serve as a support to you 
in social mobilisation and in enabling the community to access their rights and 
entitlements. With the support of the VHSNC you can also take action on water and sanitation issues, and on social issues like early marriage, sending girls to 
school, violence against women or any other problems that are specific to  
your village. 
The VHSNC receives a sum of Rs. 10,000/- per year as an untied fund. This is to be 
used in order to undertake activities for village level improvements in sanitation 
and health status. It is your responsibility to help the PRI member and AWW to call the meeting, record the minutes, and take follow up action. 
Future training module will extensively cover your role and the functions of  
the VHSNC."
Induction Training Module for ASHA English,14,"Induction Training Module for ASHAs
 14Roles and responsibilities of VHSNC –The VHSNC convenes a monthly meeting 
with representation of the members from the villages and attached hamlets. It 
undertakes following functions-
Generate Awareness in 
the community about, 
sanitation and nutrition
Improve other social 
determinants of healthl  Provide information on health 
programmes and related entitlements
l  Motivate people to avail the public health care services
l  Monitor availability, quality, outreach, and reach to the marginalised sections
l  Oversee/support work of public service functionaries
l  Total population, number of households, families falling under BPL category, with 
information their religion, caste, language.
l  Births
l  Infants, maternal and other deaths
l  OutbreaksMonitor Health Services 
being provided
Report and Maintain 
information/data of village
Make Village health plan 
and take follow up action
Improve drinking 
water facilities and 
cleanliness of villageThrough
l  Disinfection/chlorination of water sources, 
safe disposal of waste, cleanliness around 
households and hand pumps
l  Construction of household toilets (under 
Total Sanitation Campaign)
l  Preventing breeding of mosquitoes which cause diseases like malaria
l  Through collective community action on literacy, early age of marriage, low sex 
ratio, poverty, nutrition (mid-day meals, 
food safety), substance abusel  Based on the needs assessment of the village situation of health, sanitation and nutrition, 
and health service delivery, identify which 
sections of the community have not received services, reasons thereof, determine what 
action is needed, where it is needed and act 
accordingly"
Induction Training Module for ASHA English,15,"15 Induction Training Module for ASHAs
ASHA Facilitator
The first level of support for you is the 
ASHA facilitator. In most states there is 
full time woman employee for this role. 
In a few states the ANM plays the role of an ASHA facilitator. There is one facilitator 
for every 10 to 20 ASHAs. She will meet 
with you at least twice a month. One of these interactions will be in the form of 
a “mentoring” visit to the households 
where you provide services. You will also meet your facilitator in the monthly 
review meeting or a cluster meeting 
(with other ASHAs from neighbouring villages). 
Auxiliary Nurse Midwife 
The ANM provides services at the first level of the health system, which is the sub centre. But her main interaction with you is through the Village Health and 
Nutrition Day. You will learn about the sub centre later in this module. Tasks of the ASHA Facilitators 
1. Support to ASHA to promote healthy behaviours and improve service 
access among families who find it difficult to change behaviours, 
through household visits.
2. Provides on the job training to the ASHA by observing and helping her 
during counselling or care.
3. Helps ASHAs plan her work.
4. Builds up mutual solidarity and motivation among ASHA in a cluster.
5. Collects health related information on the ASHA’s work.
6. Troubleshoots problems, especially as regards payments and addressing grievances. 
7. Refills ASHA drug kit"
Induction Training Module for ASHA English,16,"Induction Training Module for ASHAs
 16Village Health and Nutrition Day 
(VHND)
It is a common platform for people to access 
services of the ANM, Male health worker and 
of the Anganwadi Worker (AWW). It is held 
at the Anganwadi Centre (AWC) once every month. The ANM gives immunisation to the 
children, provides antenatal care to pregnant 
women and provides counselling and contraceptive services to eligible couples. 
In addition, the ANM provides a basic 
level of curative care for minor illness with referral where needed. The VHND 
is an occasion for health communication on a number of key health issues. It 
should be attended by the members of PRI, particularly the women members, 
pregnant women, women with children under two, adolescent girls and general community members. 
It is important for you to know that VHND is a major mobilisation event for your 
community and a good opportunity to reinforce health messages. As you gain experience and learn from different training programmes, you should use this 
forum to provide information on the topics in Annexure (1). These topics can 
be taken up one by one and completed over a period of one year. 
What should you do for a successful VHND?
After finishing this round of training, you can go back and make a list of the 
following and ensure their presence during the upcoming VHND
l Pregnant women for their antenatal care and mothers needing  postnatal care. 
l Infants who need their next dose of immunisation.
l Malnourished children.
l TB patients who are on anti-TB drugs.
l Those with fever who have not been able to see a doctor. 
l Eligible couples who need contraceptive services or counselling.
l Any others who want to meet the ANM.
Remember: As you prepare the list of people requiring services at VHND, 
make special effort to include individuals from families of new migrants, those 
living in distant hamlets, vulnerable persons because of poverty or otherwise marginalised. Coordinate with the AWW and the ANM to know in advance 
which day the VHND is scheduled so as to inform those who need these 
services and the community, especially the VHSNC members. 
"
Induction Training Module for ASHA English,17,"17 Induction Training Module for ASHAsClarifying roles and responsibilities: Given that you, the AWW, and the ANM 
work as a team, it is important that you understand not just your role, but their 
as well. The chart given in section 4 will help you understand your work with 
respect to ANM and AWW. 
Working arrangements 
As a volunteer you have a flexible work schedule. Your workload is limited to putting in about three to five hours per day on about four days per week, 
except during some mobilisation events and training programmes. Your tasks 
are to be so tailored that it does not interfere with your normal livelihood, and fits into the ‘five activities’ described on page: 8.
You will receive monetary incentive for some of the tasks you perform but there 
are many tasks which are essential for the good of the community that you would need to undertake voluntarily. For tasks where you have to be away for 
most of the day, you would be compensated. For example - training days and 
for participating in monthly meetings. 
(An illustrative list of activities for which you are paid incentives is given in 
Annexure 2. The package of services for which ASHAs are given incentive is 
state specific and varies from state to state. Thus the list provided in annexure 2 
should be replaced with state specific details.)
b. ASHA Diary
a.  Village Health 
RegisterLearning to organise your work
It is not possible to memorise the details of all 
individuals needing services. Keeping a systematic 
record of your work would help you in being organised and plan better. The following tools 
would proove useful in organising your work.
Village Health Register In this you can record details of pregnant women, 
0-5 year old children, eligible couples and others in 
need of services. Your village visits will help you in updating this register 
An ASHA diary
It is a record of your work and also useful for 
tracking performance based payments due  
to you."
Induction Training Module for ASHA English,18,"Induction Training Module for ASHAs
 18ASHA Drug Kit
At the end of the training programme you will be 
given a drug kit. This is provided so that you are able 
to treat minor ailments/problems. The content of the drug kit has been provided in Annexure 3 along 
with a Sample drug kit stock card.
The contents of the kit may change depending on 
the needs of the state. 
The drug kit is to be re-filled on a regular basis from 
the nearest PHC. To keep a record of consumption of the drugs, and for effective re-filling and ensuring 
adequate/timely availability, a drug kit stock card is 
maintained. This can be completed by the person who refills the kit or by you.
c. Drug Kit  
Stock Register"
Induction Training Module for ASHA English,19,"19 Induction Training Module for ASHAs
What is a Healthy Community?Section 2
Understanding your Village and your Community
You know your community well and are familiar with its health problems. If you 
list the common health or other associated problems for your village, it may 
look similar to the one depicted below:
Malnutrition
Problems related to pregnancy, lack of skilled 
care during delivery and lack of prompt care 
for complications leading to Maternal deaths
Unsafe drinking water
Improper sanitation and 
unclean surroundings
Other problems affecting the health of individuals - 
poverty, alcohol abuse, early age of marriage, etc.Common childhood illnesses like 
pneumonia, diarrhoea causing infant 
deaths & malnutrition
Infectious diseases like, malaria or 
Tuberculosis"
Induction Training Module for ASHA English,20,"Induction Training Module for ASHAs
 20What are the Factors that Contribute to Good 
Health?
Healthy environment and hygienic habits
Our surroundings and personal hygiene have a direct impact on our 
health. Clean living environment and proper hygienic conditions ensure 
good health. The place we live, the food we eat, our drinking water and 
the air we breathe - needs to be free of pollutants, harmful chemicals and disease causing germs. This will prevent spread of many illnesses 
like respiratory infections, diarrhoea, breathing problems etc. 
Socio cultural factors
Both social and economic inequality and deprivation have an 
adverse effect on health. Thus poorer households, families from more 
marginalised communities with poor education and those in more 
health risk prone occupations are more likely to have malnutrition, illness and deaths. Social beliefs and cultural practices also have a 
strong link with the health of an individual. For example, Neglect of 
girl child leads to compromised health status of women.
Life style
Life style consists of health behaviours and practices that affect the health of individuals. Lifestyles that have a positive influence are 
regular exercise, a nutritious well balanced diet, etc. Some forms of life 
styles may be detrimental to health. These are: Alcohol/drug abuse/tobacco chewing/smoking etc. 
Genetic factors (Heredity)
Genetic make-up is what we inherit from our parents. It plays a role in determining our physical structure, appearance (body-frame, height, 
weight, looks, colour of our skin) and also some mental and emotional 
traits of our personality. It is important for you to know that some diseases are also linked to hereditary factors. They include high blood 
sugar, high blood pressure etc. 
Availability of and access to appropriate health services
For individuals to remain healthy it is important that health services 
are available, accessible and affordable. As a community health worker 
your role is not only to promote healthy life practices but also in 
facilitating and organising community’s access to health services and treatment for illnesses.There are several levels at which health services 
are provided by the health system and you will learn about this later 
in the module. 
"
Induction Training Module for ASHA English,21,"21 Induction Training Module for ASHAsAn “Activist” is person who actively leads her/his community for a 
particular cause. Before we discuss your role in detail, you should read the 
real life examples of activism in Annexure 4.
As an ASHA you are expected to play the role of an activist primarily to reduce 
inequities and improve the access of marginalised and disadvantaged to 
public health care services. To do this you should work “along” with them and 
not “for” them, and make them understand their health needs, rights and subsequently avail services. Mobilising the community takes time and is energy 
consuming. As you mature in your work, with continuous training and support, 
you will gradually learn to mobilise your community for accessing their health rights. In the meanwhile, try not to lose patience and hope.
“In the broadest sense, a community activist is one who works for 
social change in the community.” 
Understanding Fundamental Rights
You will often find that people are not aware of their rights and face prejudices. Thus, knowledge about fundamental rights is important for every individual 
including you, the ASHA. It will help you to take appropriate decisions for the 
development of your community. 
The six Fundamental Rights granted by our Constitution are: 
The Right to Equality – This right ensures that same laws are applicable to 
every citizen. No citizen can be  discriminated against on the basis of religion, 
caste, sex, race or place of birth. He/she is entitled to have access to public 
places like shops, eating places, public health facilities, wells, tanks, bathing 
ghats, roads, playgrounds and places dedicated for the use of general public. 
Understanding Rights and 
Right to HealthSection 3
"
Induction Training Module for ASHA English,22,"Induction Training Module for ASHAs
 22Right to Freedom: The Right to Freedom enables us to speak and express 
freely, assemble peacefully without arms, form associations or unions, move 
freely throughout the territory of India, to live and settle in any part of India, 
practice any profession or to carry on any occupation, trade or business. 
Right Against Exploitation: This right grants clear provisions to prevent 
exploitation of weaker/vulnerable sections of the community and prohibits 
“traffic i.e. selling or buying of human beings, (usually women for immoral purpose). Forced labour, bonded labour or captivity of any human being as slave 
is completely barred and employment of a child below the age of fourteen to 
work in any factory or mine or any other hazardous work is not allowed. 
Right to Freedom of Religion: This right allows every person a right to practice the religion he or she believes. 
Cultural and Educational Rights of minorities: Any citizen with a distinct language or culture has a right to practice this. No citizen can be denied 
admission to any educational institution maintained by government on the 
grounds of religion or language. All minorities have a right to establish and administer educational institutions of their choice
Right to Constitutional Remedies: This right empowers citizens to approach 
the court in cases of denial of any of the Fundamental Rights. Under this 
right, it is the duty of the Judiciary to attend to all complaints pertaining to 
violation or rights. 
Understanding the Meaning of Right to Health
Your understanding of the Right to Health will help you to be vigilant and take action to enable community’s access to avail health care services from the Public 
Health System. 
Right to Health means 
l People should have convenient access to a public healthcare facility which 
is functional and implements comprehensive health programmes with 
adequate providers, drugs and equipment.
l  Health facilities and services must be of good quality and available to 
everyone without any discrimination. Nobody should be refused treatment 
on the basis of religion, caste, economic status, gender, etc. 
l Health services should be affordable for all. "
Induction Training Module for ASHA English,23,"23 Induction Training Module for ASHAsl Community should have information about the available services 
irrespective of their caste/class/religion/sex. They should be aware about their 
entitlements from the Public Health System. 
Y our community’s rights to health are protected if:
l Your community is able to avail free health services in the village on specific 
days through public health systems and have access to all kind of preventive 
and curative services in public health centres and hospitals with referral to 
higher facility when required.
l The community is aware about the health services and entitlements they can avail from the public health system such as free services in 
public sector hospitals, schemes of Janani Suraksha Yojana (JSY) or 
Janani Sishu Suraksha Karyakaram (JSSK) and any other health schemes being implemented by the government. (These two are described in the 
section on Maternal health) 
l All sections of the community including the marginalised are able to access 
the health services and avail entitlements and ANMs visit their villages 
regularly provide free services to all. 
As an ASHA, you are an important link between the community and the Health 
Facility and you also help in creating an empowered community that is aware 
about its health rights and entitlement and is able to demand it. 
Understanding NRHM
The National Rural Health Mission (NRHM) was launched in 2005, and its vision 
was to provide accessible, affordable and quality health care to the rural 
population particularly to the vulnerable sections. The NRHM also undertook 
the task of ensuring strengthening the health system to a guaranteed set of services within each district. The NRHM is based on a rights framework, and 
the ASHA is the first point through which people can be mobilised to realise 
their rights.
Now, we will learn about the public health facilities at various levels, services 
offered and the team of providers at each level. Annexure 5 contains a detailed 
check list, to enable you to assess the quality of health services being provided in these facilities. 
You should also try to map out the distances of each of these 
facilities from your village and identify the possible means of transportation for 
reaching these centres. This would be useful in undertaking appropriate referral 
as and when needed."
Induction Training Module for ASHA English,24,"Induction Training Module for ASHAs
 24Health Facilities
Name of the 
FacilityPopulation CoverageProviders Available Services
Health Sub-Centres are of two types.
Type A and Type 
B. The latter 
provides all recommended services including facilities for conducting deliveries)3000 population in tribal hilly areas and up to 5000 population in plain areas
l	One ANM*
l	Multipurpose health worker in some places
*(A second ANM has been placed in certain states)l	Conducts VHND and other outreach services
Here ANM provides the following:
l	Family Planning services like provision of OCPs, condoms, IUCD insertion and related counselling
l	Complete package of ANC including pregnancy registration, PNC and immunisation.
l	Growth Monitoring and Nutritional Counselling
l	Treatment of minor illnesses and childhood diseases including prompt referral when required
l	Follow up on treatment for TB, Leprosy, Malaria and activities for control of vector borne diseases
l	ANM provides delivery services only if she is trained as SBA
Primary Health Centre**
4-6 bedded and 
acts as a referral unit for 6 Sub-Centres
**(Your monthly 
review meetings are conducted here and release of payments is done through the approval of BMO)20,000 in hilly, tribal, or difficult areas and 30,000 population in plain areas
l	One MBBS Medical Officer
l	One AYUSH doctor
l	One staff nurse
l	1 Sanitary staff
(Many PHCs have two medical officers)Provides all the services mentioned for HSC plus:
 
l	24-hour institutional delivery services both 
normal and assisted (if designated as 24X7 PHC)
l	Out-patient care for all ailments is possible skills of medical officer
l	Essential Newborn care (with provision of Newborn corner in labour room)
l	Abortion services with linkage for timely referral to the facility approved for 2nd trimester of MTP (where trained personnel and facility exist)
l	Male/female Sterilisation services where trained personnel and facility exists
l	Health check- up and treatment of school children and adolescent friendly clinic for 2 hours once a week on a fixed day addressing adolescent health concerns
l	Screening of general health, assessment of Anaemia/Nutritional status, visual acuity, hearing problems, dental check- up, common skin conditions, Heart defects, physical disabilities, learning disorders, behaviour problems, etc.
"
Induction Training Module for ASHA English,25,"25 Induction Training Module for ASHAsName of the 
FacilityPopulation CoverageProviders Available Services
Community Health Centre
30-bedded 
hospital, acts as referral for 4 PHCs80,000 in tribal/hilly/desert areas and 1,20,000
In plain areas.5-6 doctors 
including specialists for different types of healthcare. 
Nurses and 
Paramedical staff more than PHCApart from all services that a PHC is meant to provide, each CHC also provides clinical care services in some of the specialist areas and institutional delivery services. Some CHCs are designated and equipped to provide services of Caesarean Delivery.
District Hospital-75 to 500 beds depending on the size, terrain and population of the district.One per district Specialists for different types of healthcare with adequate number of nurses and Paramedical staff. 
l	It is a hospital at the secondary referral level 
l	Generally provides all basic speciality services
l	It has Specialised Newborn Care Unit for sick and high risk newborns, blood bank, specialised labs, and provides services for caesarean sections, care, safe abortion and family planning procedures. 
l	Provides most of the surgical services and has a well- equipped Operation Theatre. 
l	It has provisions for dealing with accident and emergency referrals, rehabilitation, mental illnesses and other forms of communicable and non- communicable diseases
Preserving Women’s Right to Health
“The status of women in society can be used to measure the culture 
and actual development of any country”
Even today many women in our country are unable to exercise basic rights.  It 
is important to realise that unlike most men, women have to work hard both 
at home and outside. Thus women spend considerable time and effort in 
managing the house as well as helping in the income generating activity of the house-hold , so they end up with twice as much work. It is essential for you 
to understand the health status of women in our community, the common problems they face and your role in addressing some of these challenges. Women suffer many problems in various stages of their life."
Induction Training Module for ASHA English,26,"Induction Training Module for ASHAs
 26Stage of life Problems
Female foetus and female  
newborn1. Sex selective abortion
2. Female infanticide
3. Depriving newborn girls of breast milk or care for illnes
Female child and  
adolescent girl1.  Depriving girl child of adequate nutrition by 
inequalities in food provision
2.  Neglecting illness of the girl child by delaying or not seeking treatment.
3.  Girls expected to look after younger siblings and do household chores also. 
4.  Girls not sent to schools or withdrawn at an early age for household work.
5.  Marriage before legal age and early motherhood, 
6.  Vulnerability to sexual abuse and violence
7.  Little or no information on health, protection from violence and sexual abuse
Adult 1. Domestic violence
2. Sexual exploitation at work place
3. Sexual assault and rape even within marriage
4. Dual burden of housework and work for livelihood
5. Dowry demands 
6. Blamed and shamed on giving birth to girl child 
7.  No legal rights, especially for abandoned and destitute.
8.  Inadequate care during pregnancy and child birth
9.  Nutritional deficiencies on account of gender discrimination– Women and girls eat last and little. 
10.  Inability to take independent decisions for her self even for health care.
11.  Infertility ascribed always to women; without proper medical confirmation.
Old Age 1. Emotional insecurity
2. Financial and social insecurity
3. Inaccessibility to health care services
4. Abandoned by families 
"
Induction Training Module for ASHA English,27,"27 Induction Training Module for ASHAsIn addition to these problems, caused by social and cultural beliefs, women are 
also more vulnerable to certain conditions/illnesses because of their physiology 
or body structure and functions. For instance, Women’s reproductive systems 
are more vulnerable, so they get more infections than men including sexually 
transmitted infections.
Women also bear the burden and pain of childbirth and abortions and are often 
solely responsible for family planning. Women have to take approval of the in-laws or the husband even for a health check- up. They often have no money to 
pay for health care on their own. Our health services and providers are also not 
fully sensitive to women’s health care needs.
Women are also generally blamed for not giving birth to baby boy, which is 
wrong. 
All females produce something called “egg” and males produce tiny 
cells called “sperms” . They fuse to form a foetus inside the women’s 
womb. Inside each egg and sperm are present chromosomes, through 
which we acquire our parent’s traits. Woman’s egg has XX chromosome and man’s sperm has XY chromosome. At the time of fusion, if the X 
chromosome from the male sperm meets the X chromosome of the 
female egg, it results in a baby girl. If the Y chromosome of the male sperm meets the X chromosome of the female it results in a baby boy. 
So, neither the man nor the woman has any control in making sure that 
a baby girl or baby boy is born.
ASHA’s role in addressing these issues
As an ASHA you are expected to help women in improving their health and social status. You should 
motivate women and convince the community to 
enhance the integrity of women in the community. To begin with, you should counsel and convince the 
community to change unfair and gender discriminatory 
practices. You could make a start by:
l Increasing participation and voice of women in all village level meetings
l Motivating women to take part in making decisions in the family. "
Induction Training Module for ASHA English,28,"Induction Training Module for ASHAs
 28l Encouraging Women to eat well and take enough rest.
l Encouraging girls to complete school education
l Ensuring that women’s’ health problems are given due importance and that 
they receive appropriate care
You could also:
l Discuss with men the need to share domestic work and child care.
l Take collective action to stop physical or mental abuse of women.
l Counsel families to raise boys and girls equally in terms of nutrition, education, and opportunities. 
l Increase awareness regarding illegality of pre-natal sex determination as well as female foeticide and infanticide.
l Raise awareness in the community about delaying age of marriage until the legal age of marriage
l Promote use of contraceptives for delay in first child birth and maintaining gap between children. 
l Increase participation of men in family planning issues.
l Provide counselling and ensure adequate care is received by women during pregnancy, child birth and post- partum period."
Induction Training Module for ASHA English,29,"29 Induction Training Module for ASHAsLeadership
Leadership as an ASHA involves mobilising people and resources towards 
achieving the common goal of health care. Through knowledge and experience 
most people have the potential to become a leader in any given situation. As 
an ASHA you often have to play the role of a leader. Hence it is important to understand the meaning of leadership and qualities, which will help you in 
being an effective leader
Leadership means to be
l	Responsible 
l	Setting an example so other people follow you. 
l		Inspiring - provide optimism and confidence in people for their 
ability to carve change.
l		Non-judgemental with people and transparent in your actions 
l		Confident, assertive, enthusiastic, passionate and accountable 
l		Skilled in enabling people to cooperate for getting things done.
Leadership style 
People adopt different leadership styles. The two common styles are  
a) Authoritarian and b) Participatory
Authoritarian leaders do not welcome cooperation or collaboration from others. 
They expect people to do what they are told without question or debate. They are usually intolerant of what they do not agree with. It is difficult for team members 
to contribute their views or empower themselves under this kind of leadership. 
A participatory leader creates a positive environment in which all members 
can reach their highest potential. They encourage the community to effectively 
reach the set goals and simultaneously strengthen the bonds among various 
members. This leads to a more productive team. As an ASHA, it is most appropriate to adopt a participatory leadership style. 
Skills of an ASHASection 4"
