question,answer,theme,keywords,Name of Document,Page no.
What happens with continuous training and support for an ASHA?,"With continuous training and support, an ASHA matures in her role, gains the confidence of the people, makes them aware of their health rights, and gradually starts to involve and mobilize the community in local health planning.",Training and Support,"['continuous training', 'support', 'ASHA', 'matures', 'confidence', 'people', 'health rights', 'involve', 'mobilize', 'community', 'local health planning']",Induction Training Module for ASHA English,[7]
What could be the purpose of an ASHA worker's visit?,The visit could be to attend a training programme or review meeting.,ASHA worker visit,"['purpose', 'training programme', 'review meeting']",Induction Training Module for ASHA English,"[9, 10]"
How often do ASHA workers have visits?,"In some months, there would be only one visit, in others, there would be more.",ASHA worker visits frequency,"['often', 'months']",Induction Training Module for ASHA English,"[9, 10]"
What are the essential tasks for an ASHA worker?,"The essential tasks for an ASHA worker include maternal care, newborn care, child care, social mobilisation, nutrition, and infections.",ASHA worker essential tasks,"['maternal care', 'newborn care', 'child care', 'social mobilisation', 'nutrition', 'infections']",Induction Training Module for ASHA English,"[9, 10]"
What are the tasks involved in maternal care?,"The tasks involved in maternal care include counselling of pregnant women, ensuring complete antenatal care, making the birth plan, and undertaking post-partum visits.",Maternal care tasks,"['counselling', 'pregnant women', 'complete antenatal care', 'birth plan', 'post-partum visits']",Induction Training Module for ASHA English,"[9, 10]"
What are the tasks involved in newborn care?,"The tasks involved in newborn care include counselling on breastfeeding, keeping the baby warm, identifying and managing LBW and pre-term babies, and conducting examinations for sepsis and asphyxia.",Newborn care tasks,"['counselling', 'breastfeeding', 'keeping the baby warm', 'LBW', 'pre-term babies', 'examinations', 'sepsis', 'asphyxia']",Induction Training Module for ASHA English,"[9, 10]"
What are the tasks involved in child care?,"The tasks involved in child care include providing home care for diarrhoea, ARI, fever, counselling for feeding during illness, temperature management, de-worming, and treatment of iron deficiency anaemia.",child care,"['tasks', 'involved', 'child care', 'home care', 'diarrhoea', 'ARI', 'fever', 'counselling', 'feeding', 'illness', 'temperature management', 'de-worming', 'treatment', 'iron deficiency anaemia']",Induction Training Module for ASHA English,"[9, 10]"
What are the tasks involved in social mobilisation?,"The tasks involved in social mobilisation include conducting women's group meetings, assisting in making village health plans, and enabling marginalised and vulnerable communities to access health services.",social mobilisation,"['tasks', 'involved', 'social mobilisation', ""women's group meetings"", 'assisting', 'village health plans', 'enabling', 'marginalised', 'vulnerable communities', 'access', 'health services']",Induction Training Module for ASHA English,"[9, 10]"
What are the tasks involved in nutrition?,"The tasks involved in nutrition include counselling and support for exclusive breastfeeding, counselling on complementary feeding, and counselling and referral of malnourished children.",nutrition,"['tasks', 'involved', 'nutrition', 'counselling', 'support', 'exclusive breastfeeding', 'counselling', 'complementary feeding', 'counselling', 'referral', 'malnourished children']",Induction Training Module for ASHA English,"[9, 10]"
What are the tasks involved in infections?,"The tasks involved in infections include identifying persons with symptoms suggestive of malaria, leprosy, tuberculosis, etc., encouraging treatment adherence, and promoting collective action to prevent spread of infections.",infections,"['tasks', 'involved', 'infections', 'identifying', 'persons', 'symptoms', 'suggestive', 'malaria', 'leprosy', 'tuberculosis', 'encouraging', 'treatment adherence', 'promoting', 'collective action', 'prevent', 'spread', 'infections']",Induction Training Module for ASHA English,"[9, 10]"
What skills are required for ASHA workers?,"ASHA workers require skills like leadership, communication, decision-making, negotiation, and coordination.",ASHA workers,"['skills', 'required', 'ASHA workers', 'leadership', 'communication', 'decision-making', 'negotiation', 'coordination']",Induction Training Module for ASHA English,"[9, 10]"
What are some important values that should guide an ASHA worker in their work?,"Be kind, treat everybody equally, be responsible, respect people's traditions and ideas, keep learning, be a role model.",Values,"['important', 'values', 'guide', 'ASHA worker', 'work', 'kind', 'treat', 'everybody equally', 'responsible', 'respect', ""people's traditions"", 'ideas', 'learning', 'role model']",Induction Training Module for ASHA English,"[11, 12]"
Why is it important for an ASHA worker to be kind?,Being kind shows compassion and care for the people they serve.,Importance of Kindness,"['important', 'ASHA worker', 'kind', 'compassion', 'care', 'people they serve']",Induction Training Module for ASHA English,"[11, 12]"
Who should an ASHA worker be especially kind to?,An ASHA worker should be especially kind to those who are sick.,Kindness towards the Sick,"['ASHA worker', 'kind', 'especially', 'sick']",Induction Training Module for ASHA English,"[11, 12]"
Should an ASHA worker refuse their services to any individual who really needs them?,"No, an ASHA worker should try not to refuse their services to any individual who really needs them.",Refusing Services,"['ASHA worker', 'refuse', 'services', 'individual', 'needs']",Induction Training Module for ASHA English,"[11, 12]"
How should an ASHA worker treat each individual?,"An ASHA worker should treat each individual equally irrespective of their class, caste, sex, and religion.",Equal Treatment,"['ASHA worker', 'treat', 'individual', 'equally', 'class', 'caste', 'sex', 'religion']",Induction Training Module for ASHA English,"[11, 12]"
Who are the marginalised people in our society when it comes to healthcare services?,"The marginalised people include those who come from extremely poor families, live in inaccessible or distant parts of villages, belong to scheduled caste/scheduled tribe families, have only women in their households, and are disabled or handicapped.","marginalised people, healthcare services","['marginalised people', 'society', 'healthcare services', 'extremely poor families', 'inaccessible', 'distant parts', 'villages', 'scheduled caste', 'scheduled tribe families', 'women', 'disabled', 'handicapped']",Induction Training Module for ASHA English,"[11, 12]"
What does it mean for an ASHA worker to treat everybody equally?,Treating everybody equally means spending more time and effort on those whose needs are more.,"equality, ASHA worker","['ASHA worker', 'treat', 'everybody equally', 'time', 'effort', 'needs']",Induction Training Module for ASHA English,"[11, 12]"
What should an ASHA worker be responsible for?,An ASHA worker should be responsible for their designated duties and should never misuse their authority for their benefit or for the benefit of friends and relatives.,"responsibilities, ASHA worker","['ASHA worker', 'responsible', 'designated duties', 'misuse', 'authority', 'benefit', 'friends', 'relatives']",Induction Training Module for ASHA English,"[11, 12]"
What should an ASHA worker do regarding people's traditions and ideas?,An ASHA worker should respect people's traditions and ideas and try to build on their existing knowledge with their own ideas.,"traditions, ideas, ASHA worker","['ASHA worker', ""people's traditions"", ""people's ideas"", 'build', 'existing knowledge', 'own ideas']",Induction Training Module for ASHA English,"[11, 12]"
What is an example of how an ASHA worker can promote the use of modern medicine together with traditional methods?,An ASHA worker can promote the use of ORS for treating a child with diarrhoea but at the same time encourage mothers to use traditional preparations like rice water and coconut water to overcome dehydration.,"modern medicine, traditional methods, ASHA worker","['ASHA worker', 'promote', 'use', 'modern medicine', 'traditional methods', 'ORS', 'treating', 'child', 'diarrhoea', 'encourage', 'mothers', 'rice water', 'coconut water', 'overcome', 'dehydration']",Induction Training Module for ASHA English,"[11, 12]"
What should an ASHA worker do to increase their own knowledge?,"An ASHA worker should use every chance they get to increase their own knowledge, such as reading books, attending training programmes, or asking questions.",Increasing Knowledge,"['ASHA worker', 'increase', 'knowledge', 'reading books', 'attending training programmes', 'asking questions']",Induction Training Module for ASHA English,"[11, 12]"
Why should an ASHA worker be a role model?,Being a role model and practicing healthy habits and behaviors helps to earn people's trust and confidence.,Being a Role Model,"['ASHA worker', 'role model', 'practicing healthy habits', 'earning trust', 'confidence']",Induction Training Module for ASHA English,"[11, 12]"
Who provides support and supervision to ASHA workers?,"Auxillary Nurse Midwife, Anganwadi Worker, Village Health Sanitation and Nutrition Committee Members, ASHA Facilitators.",Support and Supervision,"['support', 'supervision', 'ASHA worker', 'Auxillary Nurse Midwife', 'Anganwadi Worker', 'Village Health Sanitation and Nutrition Committee Members', 'ASHA Facilitators']",Induction Training Module for ASHA English,"[11, 12]"
What kind of support does an ASHA worker need to be effective?,"An ASHA worker needs support and mentoring while working in the community, as well as refresher trainings.",Effective Support,"['support', 'mentoring', 'refresher trainings', 'ASHA worker', 'community']",Induction Training Module for ASHA English,"[11, 12]"
Who are the members of the village health team that ASHA workers are expected to work together with?,"Auxillary Nurse Midwife, Anganwadi Worker, Village Health Sanitation and Nutrition Committee Members, ASHA Facilitators.",Working Together,"['ASHA worker', 'village health team', 'Auxillary Nurse Midwife', 'Anganwadi Worker', 'Village Health Sanitation and Nutrition Committee Members', 'ASHA Facilitators']",Induction Training Module for ASHA English,"[11, 12]"
Who is the first level of support for ASHA workers?,The ASHA facilitator.,ASHA workers,"['first level of support', 'ASHA facilitator']",Induction Training Module for ASHA English,"[15, 16]"
What is the role of an ASHA facilitator?,"To provide support to ASHA workers, promote healthy behaviors, improve service access, provide on the job training, help plan work, build solidarity, collect health-related information, and troubleshoot problems.",ASHA facilitator,"['support', 'ASHA workers', 'promote healthy behaviors', 'improve service access', 'on the job training', 'plan work', 'build solidarity', 'collect health-related information', 'troubleshoot problems']",Induction Training Module for ASHA English,"[15, 16]"
How often does an ASHA worker meet with the facilitator?,At least twice a month.,ASHA worker and facilitator meetings,['twice a month'],Induction Training Module for ASHA English,"[15, 16]"
What is the Village Health and Nutrition Day (VHND)?,"It is a common platform for people to access services from the ANM, male health worker, and the Anganwadi Worker (AWW). It is held once every month at the Anganwadi Centre (AWC).",Village Health and Nutrition Day (VHND),"['common platform', 'access services', 'ANM', 'male health worker', 'Anganwadi Worker (AWW)', 'once every month', 'Anganwadi Centre (AWC)']",Induction Training Module for ASHA English,"[15, 16]"
What services are provided during VHND?,"Immunization for children, antenatal care for pregnant women, counseling and contraceptive services for eligible couples, and basic curative care for minor illnesses.",Services during VHND,"['immunization for children', 'antenatal care for pregnant women', 'counseling and contraceptive services for eligible couples', 'basic curative care for minor illnesses']",Induction Training Module for ASHA English,"[15, 16]"
Who should attend VHND?,"Members of PRI, pregnant women, women with children under two, adolescent girls, and general community members.",Attendees,"['PRI', 'pregnant women', 'women with children under two', 'adolescent girls', 'general community members']",Induction Training Module for ASHA English,"[15, 16]"
What is the importance of VHND?,It is a major mobilization event for the community and a good opportunity to reinforce health messages.,Importance,"['major mobilization event', 'community', 'opportunity', 'reinforce health messages']",Induction Training Module for ASHA English,"[15, 16]"
What should be done for a successful VHND?,"Make a list of pregnant women, mothers needing postnatal care, infants needing immunization, malnourished children, TB patients on anti-TB drugs, individuals with fever who haven't seen a doctor, eligible couples needing contraceptive services or counseling, and others who want to meet the ANM.",Successful VHND,"['list', 'pregnant women', 'mothers needing postnatal care', 'infants needing immunization', 'malnourished children', 'TB patients on anti-TB drugs', 'individuals with fever', 'eligible couples needing contraceptive services or counseling', 'others', 'meet the ANM']",Induction Training Module for ASHA English,"[15, 16]"
What should be included in the list of people requiring services at VHND?,"Individuals from families of new migrants, those living in distant hamlets, and vulnerable persons due to poverty or marginalization.",List of People Requiring Services,"['families of new migrants', 'distant hamlets', 'vulnerable persons', 'poverty', 'marginalization']",Induction Training Module for ASHA English,"[15, 16]"
Who should be coordinated with to know the schedule of VHND?,The AWW and the ANM.,Coordination,"['AWW', 'ANM']",Induction Training Module for ASHA English,"[15, 16]"
What is the role of ASHA workers?,The role of ASHA workers is explained in section 4.,role of ASHA workers,"['role', 'ASHA workers', 'explained', 'section 4']",Induction Training Module for ASHA English,"[17, 18]"
What is the working schedule for ASHA workers?,ASHA workers have a flexible work schedule and are expected to work about three to five hours per day on about four days per week.,working schedule for ASHA workers,"['working schedule', 'ASHA workers', 'flexible', 'work', 'three to five hours', 'per day', 'four days per week']",Induction Training Module for ASHA English,"[17, 18]"
Are ASHA workers compensated for their tasks?,"ASHA workers receive monetary incentives for some tasks, but there are also tasks that they need to undertake voluntarily for the good of the community.",compensation for ASHA workers,"['compensated', 'ASHA workers', 'monetary incentives', 'tasks', 'undertake voluntarily', 'good of the community']",Induction Training Module for ASHA English,"[17, 18]"
What are the 'five activities' mentioned on page 8?,The 'five activities' are described on page 8 of the document.,five activities' mentioned on page 8,"[""'five activities'"", 'mentioned', 'page 8', 'document']",Induction Training Module for ASHA English,"[17, 18]"
What is the ASHA Diary?,The ASHA Diary is a record of the ASHA worker's work and is also useful for tracking performance-based payments.,ASHA Diary,"['ASHA Diary', 'record', ""ASHA worker's work"", 'useful', 'tracking', 'performance-based payments']",Induction Training Module for ASHA English,"[17, 18]"
What is the Village Health Register used for?,"The Village Health Register is used to record details of pregnant women, 0-5 year old children, eligible couples, and others in need of services.",Village Health Register,"['Village Health Register', 'record', 'pregnant women', '0-5 year old children', 'eligible couples', 'services']",Induction Training Module for ASHA English,"[17, 18]"
What is the ASHA Drug Kit?,The ASHA Drug Kit is provided to ASHA workers so that they can treat minor ailments/problems.,ASHA Drug Kit,"['ASHA Drug Kit', 'ASHA workers', 'treat', 'minor ailments/problems']",Induction Training Module for ASHA English,"[17, 18]"
What is the content of the ASHA Drug Kit?,The content of the ASHA Drug Kit is provided in Annexure 3 along with a Sample drug kit stock card.,ASHA Drug Kit Content,"['ASHA Drug Kit Content', 'Annexure 3', 'Sample drug kit stock card']",Induction Training Module for ASHA English,"[17, 18]"
How often should the ASHA Drug Kit be re-filled?,The ASHA Drug Kit should be re-filled on a regular basis from the nearest PHC.,ASHA Drug Kit Refill,"['ASHA Drug Kit', 're-filled', 'regular basis', 'nearest PHC']",Induction Training Module for ASHA English,"[17, 18]"
What is the purpose of the drug kit stock card?,"The drug kit stock card is used to keep a record of consumption of the drugs, and for effective re-filling and ensuring adequate/timely availability.",Drug Kit Stock Card,"['drug kit stock card', 'record', 'consumption', 'drugs', 're-filling', 'adequate/timely availability']",Induction Training Module for ASHA English,"[17, 18]"
What is a Healthy Community?,A healthy community refers to a community that has good health indicators and practices.,Healthy Community,"['healthy community', 'good health indicators', 'good health practices']",Induction Training Module for ASHA English,"[19, 20]"
What are some common health problems in villages?,"Some common health problems in villages include malnutrition, problems related to pregnancy, lack of skilled care during delivery, lack of prompt care for complications leading to maternal deaths, unsafe drinking water, improper sanitation, unclean surroundings, poverty, alcohol abuse, early age of marriage, etc.",Common Health Problems in Villages,"['common health problems', 'villages', 'malnutrition', 'pregnancy problems', 'lack of skilled care', 'maternal deaths', 'unsafe drinking water', 'improper sanitation', 'unclean surroundings', 'poverty', 'alcohol abuse', 'early age of marriage']",Induction Training Module for ASHA English,"[19, 20]"
What are the factors that contribute to good health?,"The factors that contribute to good health include a healthy environment, hygienic habits, socio-cultural factors, lifestyle choices, genetic factors, and availability of and access to appropriate health services.",Factors Contributing to Good Health,"['factors contributing to good health', 'healthy environment', 'hygienic habits', 'socio-cultural factors', 'lifestyle choices', 'genetic factors', 'availability of health services', 'access to health services']",Induction Training Module for ASHA English,"[19, 20]"
How does the environment and personal hygiene affect health?,"The environment and personal hygiene have a direct impact on health. A clean living environment and proper hygienic conditions help ensure good health by preventing the spread of illnesses like respiratory infections, diarrhea, and breathing problems.",Impact of Environment and Personal Hygiene on Health,"['environment', 'personal hygiene', 'impact on health', 'clean living environment', 'hygienic conditions', 'spread of illnesses', 'respiratory infections', 'diarrhea', 'breathing problems']",Induction Training Module for ASHA English,"[19, 20]"
What are socio-cultural factors that affect health?,"Socio-cultural factors such as social and economic inequality, deprivation, poor education, and health risk-prone occupations can adversely affect health. Social beliefs and cultural practices also play a role in determining the health of an individual.",Socio-Cultural Factors Affecting Health,"['socio-cultural factors', 'social and economic inequality', 'deprivation', 'poor education', 'health risk-prone occupations', 'social beliefs', 'cultural practices', 'individual health']",Induction Training Module for ASHA English,"[19, 20]"
What is included in a person's lifestyle?,"A person's lifestyle includes health behaviors and practices that can affect their health. Examples of positive lifestyle choices are regular exercise and a nutritious, well-balanced diet. Negative lifestyle choices include alcohol/drug abuse, tobacco chewing, smoking, etc.",lifestyle,"['included', ""person's"", 'health', 'behaviors', 'practices', 'affect', 'positive', 'choices', 'regular exercise', 'nutritious', 'well-balanced diet', 'negative', 'alcohol/drug abuse', 'tobacco chewing', 'smoking']",Induction Training Module for ASHA English,"[19, 20]"
How do genetic factors influence health?,"Genetic factors, or heredity, play a role in determining a person's physical structure, appearance, and some mental and emotional traits. Some diseases, such as high blood sugar and high blood pressure, are also linked to hereditary factors.",genetic factors,"['influence', 'health', 'heredity', 'physical structure', 'appearance', 'mental', 'emotional traits', 'diseases', 'high blood sugar', 'high blood pressure', 'linked']",Induction Training Module for ASHA English,"[19, 20]"
Why is availability of and access to health services important for individuals?,"For individuals to remain healthy, it is important that health services are available, accessible, and affordable. Community health workers play a role in promoting healthy life practices and facilitating the community's access to health services and treatment for illnesses.",availability and access to health services,"['important', 'individuals', 'remain healthy', 'available', 'accessible', 'affordable', 'community health workers', 'promoting', 'facilitating', 'treatment', 'illnesses']",Induction Training Module for ASHA English,"[19, 20]"
What is the role of a community health worker?,The role of a community health worker is not only to promote healthy life practices but also to facilitate and organize the community's access to health services and treatment for illnesses.,role of a community health worker,"['role', 'community health worker', 'promote', 'facilitate', 'organize', 'access', 'treatment', 'illnesses']",Induction Training Module for ASHA English,"[19, 20]"
What are the different levels at which health services are provided?,There are several levels at which health services are provided by the health system. More information about these levels will be covered later in the module.,levels of health services,"['different levels', 'health services', 'provided', 'health system', 'covered', 'later', 'module']",Induction Training Module for ASHA English,"[19, 20]"
What does the Right to Freedom enable us to do?,"The Right to Freedom enables us to speak and express freely, assemble peacefully without arms, form associations or unions, move freely throughout the territory of India, to live and settle in any part of India, practice any profession or to carry on any occupation, trade or business.",Right to Freedom,"['speak', 'express', 'assemble', 'peacefully', 'arms', 'form associations', 'unions', 'move freely', 'territory of India', 'live', 'settle', 'practice profession', 'carry on occupation', 'trade', 'business']",Induction Training Module for ASHA English,"[22, 23]"
What does the Right Against Exploitation prohibit?,"The Right Against Exploitation prohibits “traffic i.e. selling or buying of human beings, forced labour, bonded labour or captivity of any human being as a slave, and employment of a child below the age of fourteen to work in any factory or mine or any other hazardous work.",Right Against Exploitation,"['traffic', 'selling', 'buying', 'human beings', 'forced labour', 'bonded labour', 'captivity', 'slave', 'employment', 'child', 'age of fourteen', 'factory', 'mine', 'hazardous work']",Induction Training Module for ASHA English,"[22, 23]"
What does the Right to Freedom of Religion allow?,The Right to Freedom of Religion allows every person a right to practice the religion he or she believes.,Right to Freedom of Religion,"['practice', 'religion']",Induction Training Module for ASHA English,"[22, 23]"
What are the Cultural and Educational Rights of minorities?,Any citizen with a distinct language or culture has a right to practice this. No citizen can be denied admission to any educational institution maintained by the government on the grounds of religion or language. All minorities have a right to establish and administer educational institutions of their choice.,Cultural and Educational Rights of minorities,"['distinct language', 'culture', 'practice', 'denied admission', 'educational institution', 'government', 'religion', 'language', 'establish', 'administer', 'educational institutions']",Induction Training Module for ASHA English,"[22, 23]"
What does the Right to Constitutional Remedies empower citizens to do?,The Right to Constitutional Remedies empowers citizens to approach the court in cases of denial of any of the Fundamental Rights.,Right to Constitutional Remedies,"['approach', 'court', 'denial', 'Fundamental Rights']",Induction Training Module for ASHA English,"[22, 23]"
What is the meaning of Right to Health?,"The Right to Health means that people should have convenient access to a public healthcare facility which is functional and implements comprehensive health programmes with adequate providers, drugs, and equipment. Health facilities and services must be of good quality and available to everyone without any discrimination. Health services should be affordable for all. The community should have information about the available services irrespective of their caste/class/religion/sex. They should be aware of their entitlements from the Public Health System.",Right to Health,"['meaning', 'Right to Health', 'people', 'convenient access', 'public healthcare facility', 'functional', 'comprehensive health programmes', 'adequate providers', 'drugs', 'equipment', 'Health facilities', 'services', 'good quality', 'available', 'everyone', 'discrimination', 'affordable', 'community', 'information', 'available services', 'caste', 'class', 'religion', 'sex', 'entitlements', 'Public Health System']",Induction Training Module for ASHA English,"[22, 23]"
How are community's rights to health protected?,"The community's rights to health are protected if they are able to avail free health services in the village on specific days through public health systems and have access to all kinds of preventive and curative services in public health centres and hospitals with referral to a higher facility when required. The community should be aware of the health services and entitlements they can avail from the public health system such as free services in public sector hospitals, schemes of Janani Suraksha Yojana (JSY) or Janani Sishu Suraksha Karyakaram (JSSK) and any other health schemes being implemented by the government. All sections of the community, including the marginalized, should be able to access the health services and avail entitlements, and ANMs should visit their villages regularly to provide free services to all.",Community's Rights to Health,"[""community's rights"", 'protected', 'avail', 'free health services', 'village', 'specific days', 'public health systems', 'access', 'preventive', 'curative services', 'public health centres', 'hospitals', 'referral', 'higher facility', 'required', 'aware', 'health services', 'entitlements', 'public health system', 'free services', 'public sector hospitals', 'schemes', 'Janani Suraksha Yojana', 'JSY', 'Janani Sishu Suraksha Karyakaram', 'JSSK', 'health schemes', 'implemented', 'government', 'sections', 'marginalized', 'access', 'ANMs', 'visit', 'villages', 'regularly', 'provide', 'free services']",Induction Training Module for ASHA English,"[22, 23]"
What is the National Rural Health Mission (NRHM)?,"The National Rural Health Mission (NRHM) was launched in 2005 with the vision to provide accessible, affordable, and quality healthcare to the rural population, particularly to the vulnerable sections. The NRHM also undertook the task of ensuring the strengthening of the health system to a guaranteed set of services within each district. The NRHM is based on a rights framework, and the ASHA is the first point through which people can be mobilized to realize their rights.",National Rural Health Mission (NRHM),"['National Rural Health Mission', 'NRHM', 'launched', '2005', 'vision', 'provide', 'accessible', 'affordable', 'quality healthcare', 'rural population', 'vulnerable sections', 'undertook', 'task', 'ensuring', 'strengthening', 'health system', 'guaranteed set', 'services', 'district', 'rights framework', 'ASHA', 'first point', 'people', 'mobilized', 'realize', 'rights']",Induction Training Module for ASHA English,"[22, 23]"
What is contained in Annexure 5?,Annexure 5 contains a detailed checklist to enable you to assess the quality of health services being provided in these facilities.,Annexure 5,"['Annexure 5', 'detailed checklist', 'enable', 'assess', 'quality', 'health services', 'provided', 'facilities']",Induction Training Module for ASHA English,"[22, 23]"
What should you do regarding public health facilities?,You should try to map out the distances of each of these facilities from your village and identify the possible means of transportation for reaching these centers. This would be useful in undertaking appropriate referral as and when needed.,Public Health Facilities,"['public health facilities', 'map out', 'distances', 'facilities', 'village', 'identify', 'possible means', 'transportation', 'reaching', 'centers', 'useful', 'undertaking', 'appropriate referral', 'needed']",Induction Training Module for ASHA English,"[22, 23]"
What should the community be aware of?,The community should be aware of the available services irrespective of their caste/class/religion/sex and their entitlements from the Public Health System.,Community Awareness,"['community', 'aware', 'services', 'caste', 'class', 'religion', 'sex', 'entitlements', 'public health system']",Induction Training Module for ASHA English,"[23, 24]"
What are the rights of the community to health?,The community's rights to health are protected if they are able to avail free health services in the village on specific days through public health systems and have access to all kinds of preventive and curative services in public health centres and hospitals with referral to higher facility when required.,Community Rights to Health,"['community', 'rights', 'health', 'protected', 'avail', 'free', 'services', 'village', 'specific days', 'public health systems', 'preventive', 'curative', 'public health centres', 'hospitals', 'referral', 'higher facility']",Induction Training Module for ASHA English,"[23, 24]"
What health services and entitlements can the community avail from the public health system?,"The community can avail free services in public sector hospitals, schemes of Janani Suraksha Yojana (JSY) or Janani Sishu Suraksha Karyakaram (JSSK), and any other health schemes being implemented by the government.",Health Services and Entitlements,"['health services', 'entitlements', 'community', 'avail', 'public health system', 'free services', 'public sector hospitals', 'Janani Suraksha Yojana (JSY)', 'Janani Sishu Suraksha Karyakaram (JSSK)', 'health schemes', 'government']",Induction Training Module for ASHA English,"[23, 24]"
What is the role of ASHA in the community?,"As an ASHA, you are an important link between the community and the Health Facility and you also help in creating an empowered community that is aware about its health rights and entitlement and is able to demand it.",Role of ASHA,"['ASHA', 'important link', 'community', 'Health Facility', 'empowered community', 'aware', 'health rights', 'entitlement', 'demand']",Induction Training Module for ASHA English,"[23, 24]"
What is the National Rural Health Mission (NRHM)?,"The National Rural Health Mission (NRHM) was launched in 2005, and its vision was to provide accessible, affordable and quality health care to the rural population particularly to the vulnerable sections.",National Rural Health Mission (NRHM),"['National Rural Health Mission (NRHM)', 'launched', '2005', 'vision', 'accessible', 'affordable', 'quality health care', 'rural population', 'vulnerable sections']",Induction Training Module for ASHA English,"[23, 24]"
What is the purpose of the NRHM?,The NRHM undertook the task of ensuring strengthening the health system to a guaranteed set of services within each district.,NRHM Purpose,"['NRHM', 'purpose', 'strengthening', 'health system', 'guaranteed set of services', 'district']",Induction Training Module for ASHA English,"[23, 24]"
What is the rights framework of the NRHM based on?,The NRHM is based on a rights framework.,NRHM Rights Framework,"['NRHM', 'rights framework']",Induction Training Module for ASHA English,"[23, 24]"
